Company Name,Target,Deadline,Last Updated,Unix Date,Remarks
BT ,Net Zero,2045,15-Sep-18,1536969600,BT (15 September 2018) net zero carbon business by 2045
Verizon ,Net Zero,2035,22-Apr-19,1555891200,Verizon (22 April 2019) net zero by 2035
British Airways ,Net Zero,2050,11-Oct-19,1570752000,British Airways (11 October 2019)  net zero by 2050
Ikea ,Climate Positive,2030,27-Nov-19,1574812800,Ikea (27 November 2019) ‘climate-positive’ by 2030
Land Securities ,Net Zero,2030,8-Nov-19,1573171200,Land Securities (8 November 2019) net zero emissions by 2030
National Trust ,Net Zero,2030,9-Jan-20,1578528000,National Trust (9 January 2020) net zero emissions by 2030
Microsoft ,Net Zero,2030,16-Jan-20,1579132800,"Microsoft (16 January 2020) net zero by 2030, with an additional goal of removing all carbon emitted since it was founded in 1975"
AstraZeneca ,Carbon Negative,2025,22-Jan-20,1579651200,"AstraZeneca (22 January 2020) carbon-negative by 2030, and net zero operational carbon emissions by 2025"
Sainsbury’s ,Net Zero,2040,28-Jan-20,1580169600,Sainsbury’s (28 January 2020) net zero emissions by 2040
Mace ,Net Zero,2020,29-Jan-20,1580256000,Mace (29 January 2020) net zero carbon by 2020
EY ,Carbon Neutral,2020,31-Jan-20,1580428800,EY (31 January 2020) carbon neutral by 2020
Sky ,Net Zero,2030,4-Feb-20,1580774400,Sky (4 February 2020) net zero by 2030
BP ,Net Zero,2050,12-Feb-20,1581465600,BP (12 Febraury 2020) net zero by 2050
Sir Robert McAlpine ,Net Zero,2024,19-Feb-20,1582070400,Sir Robert McAlpine (19 February 2020) net zero by 2024
Mitie ,Net Zero,2025,20-Feb-20,1582156800,Mitie (20 February 2020) net zero by 2025
Cemex ,Net Zero,2050,21-Feb-20,1582243200,Cemex (21 February 2020) net zero concrete by 2050
O2 ,Net Zero,2025,3-Mar-20,1583193600,O2 (03 March 2020) net zero network and operations by 2025
Barclays ,Net Zero,2050,30-Mar-20,1585526400,Barclays (30 March 2020) net zero by 2050
Shell ,Net Zero,2050,20-Apr-20,1587340800,Shell (20 April 2020) net zero by 2050
CMS ,Net Zero,2025,24-Apr-20,1587686400,CMS (24 April 2020) net zero by 2025
Jacob’s Engineering ,Net Zero,2030,24-Apr-20,1587686400,Jacob’s Engineering (24 April 2020) net zero by 2030
Total ,Net Zero,2050,5-May-20,1588636800,Total  (5 May 2020) net zero by 2050
University of Manchester ,Net Zero,2038,29-May-20,1590710400,University of Manchester (29 May 2020) net zero investment portfolio 2038
Tetra Pak ,Net Zero,2050,11-Jun-20,1591833600,Tetra Pak (11 June 2020) net zero value chain by 2050
Unilever ,Net Zero,2039,14-Jun-20,1592092800,Unilever (14 June 2020) net zero by 2039
British Land ,Net Zero,2030,23-Jun-20,1592870400,British Land (23 June 2020) net zero portfolio by 2030
Barrett Developments ,Net Zero,2040,30-Jun-20,1593475200,Barrett Developments (30 June 2020) net zero by 2040
Lucozade Ribena Suntory ,Net Zero,2050,1-Jul-20,1593561600,Lucozade Ribena Suntory (01 July 2020) net zero value chain by 2050
M&G Real Estate ,Net Zero,2050,13-Jul-20,1594598400,M&G Real Estate (13 July 2020) net zero operational emissions by 2030 and net zero across its real estate portfolio by 2050
Apple ,Net Zero,2030,21-Jul-20,1595289600,Apple (21 July 2020) net zero by 2030
Capgemini ,Net Zero,2030,24-Jul-20,1595548800,Capgemini (24 July 2020) net zero operations and supply chain by 2030
Novo Nordisk ,Net Zero,2030,4-Aug-20,1596499200,Novo Nordisk (04 August 2020) net zero by 2030
HMRC ,Net Zero,2040,1-Sep-20,1598918400,HMRC (01 September 2020) net zero by 2040
Ikea ,Climate Positive,2030,2-Sep-20,1599004800,Ikea (02 September 2020) climate positive by 2030
PwC ,Net Zero,2030,15-Sep-20,1600128000,PwC (15 September 2020) net zero by 2030
IAG ,Net Zero,2050,11-Sep-20,1599782400,IAG (11 September 2020) net zero carbon emissions by 2050
Japan Airlines ,Net Zero,2050,11-Sep-20,1599782400,Japan Airlines (11 September 2020) net zero by 2050
Qantas ,Net Zero,2050,11-Sep-20,1599782400,Qantas (11 September 2020) net zero by 2050
Finnair ,Carbon Neutral,2045,11-Sep-20,1599782400,Finnair (11 September 2020) carbon neutrality by 2045
American Airlines ,Net Zero,2050,11-Sep-20,1599782400,American Airlines (11 September 2020) net zero by 2050
Cathay Pacific ,Net Zero,2050,11-Sep-20,1599782400,Cathay Pacific (11 September 2020) net zero by 2050
Iberia ,Net Zero,2050,11-Sep-20,1599782400,Iberia (11 September 2020) net zero by 2050
Malaysia Airlines ,Net Zero,2050,11-Sep-20,1599782400,Malaysia Airlines (11 September 2020) net zero by 2050
Qatar Airways ,Net Zero,2050,11-Sep-20,1599782400,Qatar Airways (11 September 2020) net zero by 2050
Royal Air Moroc ,Net Zero,2050,11-Sep-20,1599782400,Royal Air Moroc (11 September 2020) net zero by 2050
Royal Jordanian ,Net Zero,2050,11-Sep-20,1599782400,Royal Jordanian (11 September 2020) net zero by 2050
S7 Airlines ,Net Zero,2050,11-Sep-20,1599782400,S7 Airlines (11 September 2020) net zero by 2050
Sri Lankan Airlines ,Net Zero,2050,11-Sep-20,1599782400,Sri Lankan Airlines (11 September 2020) net zero by 2050
Fiji Airways ,Net Zero,2050,11-Sep-20,1599782400,Fiji Airways (11 September 2020) net zero by 2050
Facebook ,Net Zero,2030,15-Sep-20,1600128000,Facebook (15 September 2020) net zero value chain by 2030
Nespresso ,Carbon Neutral,2022,17-Sep-20,1600300800,Nespresso (17 September 2020) carbon neutrality by 2022
Arup ,Net Zero,2030,22-Sep-20,1600732800,Arup (22 September 2020) net zero 2030
Bolt ,Climate Positive,2020,22-Sep-20,1600732800,Bolt (22 September 2020) climate positive by end of 2020
Spirax-Sarco ,Net Zero,2040,22-Sep-20,1600732800,Spirax-Sarco (22 September 2020) net zero by 2040
LafargeHolcim ,Net Zero,2050,22-Sep,1663804800,LafargeHolcim (22 September) net zero by 2050
NHS ,Net Zero,2040,1-Oct-20,1601510400,NHS (01 October 2020) net zero by 2040
Aviva Investors Pension Scheme ,Net Zero,2050,2-Oct-20,1601596800,Aviva Investors Pension Scheme (02 October 2020) net zero by 2050
BT Pension Scheme ,Net Zero,2035,8-Oct-20,1602115200,BT Pension Scheme (08 October 2020) net zero by 2035
HSBC ,Net Zero,2050,9-Oct-20,1602201600,HSBC (09 October 2020) net zero financed emissions by 2050
City of London Corporation ,Net Zero,2040,12-Oct-20,1602460800,City of London Corporation (12 October 2020) net zero by 2040
John Lewis ,Net Zero,2035,19-Oct-20,1603065600,John Lewis (19 October 2020) net zero by 2035
Dentsu International ,Net Zero,2030,22-Oct-20,1603324800,Dentsu International (22 October 2020) net zero by 2030
Lime ,Net Zero,2030,23-Oct-20,1603411200,Lime (23 October 2020) net zero by 2030
Equinor ,Net Zero,2050,3-Nov-20,1604361600,Equinor (03 November 2020) net zero by 2050
KPMG ,Net Zero,2030,9-Nov-20,1604880000,KPMG (09 November 2020) net zero by 2030
Tesco ,Net Zero,2035,16-Nov-20,1605484800,Tesco (16 November 2020) net zero by 2035
Henkel ,Net Zero,2040,18-Nov-20,1605657600,Henkel (18 November 2020) net zero by 2040 under Amazon’s Climate Pledge
Diageo ,Net Zero,2030,23-Nov-20,1606089600,Diageo (23 November 2020) net zero operations by 2030
Vodafone ,Net Zero,2027,23-Nov-20,1606089600,Vodafone (23 November 2020) net zero by 2040 and net zero carbon emissions from operations by 2027
Coca-Cola European Partners ,Net Zero,2040,7-Dec-20,1607299200,Coca-Cola European Partners (07 December 2020) net zero by 2040
Glencore ,Net Zero,2050,7-Dec-20,1607299200,Glencore (07 December 2020) net zero by 2050
Canary Wharf Group ,Net Zero,2030,9-Dec-20,1607472000,Canary Wharf Group (09 December 2020) net zero by 2030
WHSmith ,Net Zero,2025,11-Dec-20,1607644800,WHSmith (11 December 2020) net zero emissions by 2025
PepsiCo ,Net Zero,2040,14-Jan-21,1610582400,PepsiCo (14 January 2021) net zero by 2040
BBC ,Net Zero,2030,14-Jan-21,1610582400,BBC (14 January 2021) net zero by 2030
Aviva Investors Real Assets ,Net Zero,2040,20-Jan-21,1611100800,Aviva Investors Real Assets  (January 2021) net zero by 2040
CDL ,Net Zero,2030,3-Feb-21,1612310400,CDL (03 February 2021) net zero operations by 2030
Avantium ,Net Zero,2030,4-Feb-21,1612396800,Avantium (4 February 2021) net zero operations by 2030
Centrica ,Net Zero,2045,25-Feb-21,1614211200,Centrica (25 February 2021) net zero by 2045
Aviva plc ,Net Zero,2040,1-Mar-21,1614556800,"Aviva plc (1 March 2021) net zero operations, supply chain by 2030 and investments by 2040"
Burger King ,Net Zero,2030,19-Apr-21,1618790400,Burger King (19 April 2021) net zero operations by 2030
Fora ,Net Zero,2030,19-Apr-21,1618790400,Fora (19 April 2021) net zero by 2030
Mulberry ,Net Zero,2030,19-Apr-21,1618790400,Mulberry (19 April 2021) net zero by 2030
Nestle ,Net Zero,2050,19-Apr-21,1618790400,Nestle (19 April 2021) net zero by 2050
Visa ,Net Zero,2040,19-Apr-21,1618790400,Visa (19 April 2021) net zero by 2040
Whitbread ,Net Zero,2040,19-Apr-21,1618790400,Whitbread (19 April 2021) net zero by 2040
WPP ,Net Zero,430,19-Apr-21,1618790400,WPP (19 April 2021) net zero by 20430
Dell ,Net Zero,2050,20-Apr-21,1618876800,Dell (20 April 2021) net zero by 2050
Co-op ,Carbon Neutral,2025,5-May-21,1620172800,Co-op (5 May 2021) carbon neutrality across own-brand food and drink by 2025
Highland Spring ,Net Zero,2040,4-Jun-21,1622764800,Highland Spring (4 June 2021) net zero by 2040
Tyson Foods ,Net Zero,2050,15-Jun-21,1623715200,Tyson Foods (15 June 2021) net zero by 2050
Burberry ,Climate Positive,2040,14-Jun-21,1623628800,Burberry (14 June 2021) climate positive by 2040